Title,Year,Type,Price,Engine type,Gearbox_type,Power_unit,Milage,City
Opel Insignia,['2011-06'],Universalas,2700,Dyzelinas,Mechaninė,"2.0 l.,         81  kW",266000,Kaunas
Opel Zafira,['2008-08'],Vienatūris,2750,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",287500,Kaunas
Opel Corsa,['2011-06'],Hečbekas,2750,Benzinas,Mechaninė,"1.2 l.,         63  kW",102000,Telšiai
Opel Astra,['2010-12'],Hečbekas,2750,Benzinas,Mechaninė,"1.6 l.,         85  kW",110000,Kaunas
Opel Astra,['2006-12'],Hečbekas,2799,Dyzelinas,Mechaninė,"1.3 l.,         66  kW",190000,Kretinga
Opel Astra,['2009-09'],Hečbekas,2800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",218585,Kėdainiai
Opel Astra,['2007-07'],Kabrioletas,2800,Benzinas,Mechaninė,"1.8 l.,         103  kW",196000,Marijampolė
Opel Insignia,['2012'],Universalas,2800,Dyzelinas,Automatinė,"2.0 l.,         118  kW",286202,Vilnius
Opel Zafira,['2011-02'],Vienatūris,2850,Dyzelinas,Mechaninė,"1.9 l.,",284646,Vilnius
Opel Zafira,['2008-10'],Vienatūris,2899,Benzinas / dujos,Mechaninė,"1.6 l.,         69  kW",215000,Kretinga
Opel Insignia,['2011-12'],Universalas,2950,Dyzelinas,Automatinė,"2.0 l.,         118  kW",395000,Klaipėda
Opel Zafira,['2010-11'],Vienatūris,2950,Benzinas,Mechaninė,"1.8 l.,         103  kW",224301,Marijampolė
Opel Corsa,['2013-07'],Hečbekas,2990,Dyzelinas,Mechaninė,"1.3 l.,         55  kW",179000,Utena
Opel Astra,['2011-11'],Universalas,3000,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",309960,Vilnius
Opel Meriva,['2010'],Hečbekas,3000,Dyzelinas,Automatinė,"1.7 l.,         74  kW",283962,Vilnius
Opel Zafira,['2011-10'],Vienatūris,3100,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",287000,Utena
Opel Insignia,['2011-10'],Universalas,3100,Dyzelinas,Mechaninė,"2.0 l.,         96  kW",270000,Utena
Opel Zafira,['2008-07'],Vienatūris,3100,Dyzelinas,Mechaninė,"1.9 l.,         110  kW",420000,Utena
Opel Vivaro,['2008'],Vienatūris,3190,Dyzelinas,Mechaninė,"2.0 l.,         84  kW",252000,Klaipėda
Opel Zafira,['2010-10'],Vienatūris,3199,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",164000,Jurbarkas
Opel Insignia,['2011'],Universalas,3200,Dyzelinas,Mechaninė,"2.0 l.,         96  kW",299214,Vilnius
Opel Astra,['2010-10'],Hečbekas,3200,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",245000,Šiauliai
Opel Insignia,['2011-11'],Universalas,3300,Dyzelinas,Mechaninė,"2.0 l.,         96  kW",297450,Vilnius
Opel Insignia,['2011'],Universalas,3300,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",363268,Vilnius
Opel Zafira,['2008-10'],Vienatūris,3300,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",200000,Utena
Opel Antara,['2010'],Visureigis / Krosoveris,3300,Dyzelinas,Mechaninė,"2.0 l.,         110  kW",237745,Vilnius
Opel Astra,['2010-06'],Hečbekas,3330,Benzinas,Mechaninė,"1.6 l.,         85  kW",180000,Marijampolė
Opel Zafira,['2008-10'],Vienatūris,3350,Benzinas,Automatinė,"2.2 l.,         110  kW",204000,Ukmergė
Opel Antara,['2007-06'],Visureigis / Krosoveris,3400,Dyzelinas,Mechaninė,"2.0 l.,         110  kW",250000,Kaunas
Opel Insignia,['2010-03'],Universalas,3400,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",291232,Vilnius
Opel Antara,['2007-12'],Visureigis / Krosoveris,3400,Dyzelinas,Mechaninė,"2.0 l.,         110  kW",182000,Kaunas
Opel Zafira,['2008-10'],Vienatūris,3450,Benzinas,Mechaninė,"1.6 l.,         85  kW",249171,Mažeikiai
Opel Astra,['2011-10'],Universalas,3490,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",255000,Kaunas
Opel Meriva,['2012-11'],Vienatūris,3500,Dyzelinas,Mechaninė,"1.7 l.,",300000,Tauragė
Opel Insignia,['2009-04'],Universalas,3500,Dyzelinas,Automatinė,"2.0 l.,         120  kW",310000,Vilnius
Opel Insignia,['2011-06'],Universalas,3500,Dyzelinas,Mechaninė,"2.0 l.,         138  kW",147000,Marijampolė
Opel Insignia,['2011-07'],Universalas,3550,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",223258,Tauragė
Opel Meriva,['2011-10'],Vienatūris,3650,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",184000,Rokiškis
Opel Astra,['2013-11'],Universalas,3699,Dyzelinas,Mechaninė,"1.7 l.,",240000,Šiauliai
Opel Insignia,['2010-01'],Hečbekas,3699,Dyzelinas,Automatinė,"2.0 l.,         96  kW",270000,Jurbarkas
Opel Astra,['1999-05'],Kabrioletas,3700,Benzinas,Mechaninė,"1.6 l.,         55  kW",192992,Panevėžys
Opel Insignia,['2008'],Sedanas,3700,Dyzelinas,Automatinė,"2.0 l.,         118  kW",227258,Vilnius
Opel Astra,['2012-05'],Universalas,3750,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",276000,Kaunas
Opel Zafira,['2007-06'],Vienatūris,3750,Dyzelinas,Mechaninė,"1.9 l.,         88  kW",193000,Kretinga
Opel Meriva,['2011-09'],Vienatūris,3750,Dyzelinas,Mechaninė,"1.7 l.,         96  kW",230650,Vilnius
Opel Zafira,['2009-05'],Vienatūris,3799,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",299915,Kaunas
Opel Astra,['2012-07'],Universalas,3800,Dyzelinas,Mechaninė,"1.3 l.,         70  kW",204473,Kėdainiai
Opel Insignia,['2009-06'],Hečbekas,3800,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",250000,Tauragė
Opel Astra,['2011'],Universalas,3800,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",272796,Vilnius
Opel Insignia,['2010-03'],Universalas,3850,Dyzelinas,Automatinė,"2.0 l.,         118  kW",330000,Vilnius
Opel Zafira,['2010-05'],Vienatūris,3850,Dyzelinas,Mechaninė,"1.7 l.,         81  kW",259594,Kėdainiai
Opel Zafira,['2009-11'],Vienatūris,3850,Dyzelinas,Automatinė,"1.9 l.,         110  kW",283697,Kretinga
Opel Antara,['2008-02'],Visureigis / Krosoveris,3850,Benzinas,Automatinė,"3.2 l.,         167  kW",291000,Klaipėda
Opel Meriva,['2011-06'],Vienatūris,3900,Dyzelinas,Mechaninė,"1.7 l.,         96  kW",214472,Marijampolė
Opel Insignia,['2009'],Universalas,3900,Dyzelinas,Automatinė,"2.0 l.,         118  kW",279000,Klaipėda
Opel Insignia,['2012-06'],Universalas,3900,Dyzelinas,Automatinė,"2.0 l.,         143  kW",212369,Marijampolė
Opel Insignia,['2011-04'],Hečbekas,3950,Dyzelinas,Automatinė,"2.0 l.,         118  kW",350000,Vilnius
Opel Insignia,['2009-10'],Hečbekas,3950,Benzinas,Mechaninė,"2.8 l.,         191  kW",261000,Ukmergė
Opel Insignia,['2009-09'],Universalas,3950,Dyzelinas,Automatinė,"2.0 l.,         118  kW",240463,Kretinga
Opel Astra,['2011'],Universalas,3950,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",255400,Utena
Opel Insignia,['2010-11'],Universalas,3999,Dyzelinas,Automatinė,"2.0 l.,         118  kW",369236,Kretinga
Opel Antara,['2007-07'],Visureigis / Krosoveris,3999,Dyzelinas,Mechaninė,"2.0 l.,         110  kW",333000,Vilnius
Opel Insignia,['2009-08'],Universalas,4000,Dyzelinas,Automatinė,"2.0 l.,         118  kW",269177,Vilnius
Opel Insignia,['2010'],Universalas,4000,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",278578,Vilnius
Opel Astra,['2012-11'],Hečbekas,4150,Dyzelinas,Mechaninė,"1.7 l.,",220000,Šiauliai
Opel Meriva,['2013-08'],Vienatūris,4150,Benzinas,Mechaninė,"1.4 l.,         88  kW",154600,Utena
Opel Insignia,['2012-06'],Universalas,4200,Dyzelinas,Automatinė,"2.0 l.,         118  kW",243000,Marijampolė
Opel Vivaro,['2011'],Vienatūris,4290,Dyzelinas,Mechaninė,"2.0 l.,         84  kW",201000,Klaipėda
Opel Astra,['2010-01'],Hečbekas,4299,Dyzelinas,Mechaninė,"1.7 l.,         92  kW",181830,Kretinga
Opel Combo,['2017-05'],Krovininis mikroautobusas,4300,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",273000,Tauragė
Opel Meriva,['2011-11'],Vienatūris,4300,Dyzelinas,Mechaninė,"1.3 l.,         70  kW",227521,Kretinga
Opel Insignia,['2011-10'],Universalas,4300,Dyzelinas,Mechaninė,"2.0 l.,         118  kW",241300,Vilnius
Opel Combo,['2013-04'],Vienatūris,4300,Dyzelinas,Mechaninė,"1.6 l.,         77  kW",414000,Tauragė
