Title,Year,Type,Price,Engine type,Gearbox_type,Milage,City,Engine,Power
Opel Insignia,2011,Universalas,3500,Dyzelinas,Mechaninė,147000,Marijampolė,2000,138
Opel Insignia,2011,Universalas,3550,Dyzelinas,Mechaninė,223258,Tauragė,2000,118
Opel Meriva,2011,Vienatūris,3650,Dyzelinas,Mechaninė,184000,Rokiškis,1700,81
Opel Insignia,2010,Hečbekas,3699,Dyzelinas,Automatinė,270000,Jurbarkas,2000,96
Opel Astra,1999,Kabrioletas,3700,Benzinas,Mechaninė,192992,Panevėžys,1600,55
Opel Insignia,2008,Sedanas,3700,Dyzelinas,Automatinė,227258,Vilnius,2000,118
Opel Astra,2012,Universalas,3750,Dyzelinas,Mechaninė,276000,Kaunas,1700,81
Opel Zafira,2007,Vienatūris,3750,Dyzelinas,Mechaninė,193000,Kretinga,1900,88
Opel Meriva,2011,Vienatūris,3750,Dyzelinas,Mechaninė,230650,Vilnius,1700,96
Opel Zafira,2009,Vienatūris,3799,Dyzelinas,Mechaninė,299915,Kaunas,1700,92
Opel Astra,2012,Universalas,3800,Dyzelinas,Mechaninė,204473,Kėdainiai,1300,70
Opel Insignia,2009,Hečbekas,3800,Dyzelinas,Mechaninė,250000,Tauragė,2000,118
Opel Astra,2011,Universalas,3800,Dyzelinas,Mechaninė,272796,Vilnius,1700,81
Opel Insignia,2010,Universalas,3850,Dyzelinas,Automatinė,330000,Vilnius,2000,118
Opel Zafira,2010,Vienatūris,3850,Dyzelinas,Mechaninė,259594,Kėdainiai,1700,81
Opel Zafira,2009,Vienatūris,3850,Dyzelinas,Automatinė,283697,Kretinga,1900,110
Opel Antara,2008,Visureigis / Krosoveris,3850,Benzinas,Automatinė,291000,Klaipėda,3200,167
Opel Meriva,2011,Vienatūris,3900,Dyzelinas,Mechaninė,214472,Marijampolė,1700,96
Opel Insignia,2009,Universalas,3900,Dyzelinas,Automatinė,279000,Klaipėda,2000,118
Opel Insignia,2012,Universalas,3900,Dyzelinas,Automatinė,212369,Marijampolė,2000,143
Opel Insignia,2011,Hečbekas,3950,Dyzelinas,Automatinė,350000,Vilnius,2000,118
Opel Insignia,2009,Hečbekas,3950,Benzinas,Mechaninė,261000,Ukmergė,2800,191
Opel Insignia,2009,Universalas,3950,Dyzelinas,Automatinė,240463,Kretinga,2000,118
Opel Astra,2011,Universalas,3950,Dyzelinas,Mechaninė,255400,Utena,1700,92
Opel Insignia,2010,Universalas,3999,Dyzelinas,Automatinė,369236,Kretinga,2000,118
